,pageTitle,sectionTitles,imageURL,question1,answer1,distractors1,question2,answer2,distractors2,question3,answer3,distractors3,question4,answer4,distractors4,imageQuestion,imageAnswerURL,imageDistractor1,imageDistractor2,imageDistractor3
10,El Panecillo,"Main, Statue",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Virgen_de_Quito_Panecillo_03.jpg/320px-Virgen_de_Quito_Panecillo_03.jpg,What religious order commissioned the building of the Virgin of El Panecillo?,Oblates,"Franciscans, Dominicans, Jesuits","According to Jesuit historian Juan de Velasco, what was located on top of El Panecillo before the arrival of the Spanish?",Temple,"Throne, Tomb, Oven",What aspect of the Virgin of El Panecillo is considered untraditional?,She has wings,"She is stepping on a snake, She is dancing, She is not seated",What is the Virgin of El Panecillo made of?,aluminium,"bronze, granite, cement",Which is the Virgen of El Panecillo?,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Virgen_de_El_Panecillo%2C_Quito%2C_Ecuador%2C_2015-07-22%2C_DD_24.JPG/320px-Virgen_de_El_Panecillo%2C_Quito%2C_Ecuador%2C_2015-07-22%2C_DD_24.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Monumento_Virgen_de_La_Paz_II.jpg/320px-Monumento_Virgen_de_La_Paz_II.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Mother_Albania_Tirana_2.JPG/320px-Mother_Albania_Tirana_2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kosice_41.jpg/320px-Kosice_41.jpg
11,Qutb Minar,"Main, History, Architecture",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Qutb_Minar_2011.jpg/320px-Qutb_Minar_2011.jpg,Who was the Qutb Minar named after?,Sufi saint Qutbuddin Bakhtiar Kaki,"founder of the Delhi Sultanate Qutb al-Din Aibak, founder of the Suri Empire Sher Shah Suri, Sultan of Delhi Firuz Shah Tughlaq",What is the only other brick minaret that is possibly older than the Qutb Minar?,Minaret of Jam,"Chand Minar, Fateh Burj, Kutlug Timur Minaret",What material are the bottom three storeys of columns made of?,sandstone,"marble, limestone, granite",What is unique about the decoration of the balconies of the Qutb Minar?,stalactite vaulting,"gargoyles, paintings of Garuda, arches",Which is the Qutb Minar?,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Qutb_Minar_in_perspective.JPG/320px-Qutb_Minar_in_perspective.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Hashtsal_Minar_02.jpg/320px-Hashtsal_Minar_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Details_of_Jama_Masjid_minaret.jpg/320px-Details_of_Jama_Masjid_minaret.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/4_Charminar.jpg/320px-4_Charminar.jpg
12,Al pastor,"Main, History, Preparation",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Tacos_al_pastor.jpg/320px-Tacos_al_pastor.jpg,What kind of meat do tacos al pastor typically contain?,pork,"beef, chicken, lamb",What Middle Eastern dish inspired the creation of tacos al pastor?,shawarma,"kofta, tabbouleh, falafel",What fruit is diced and served on top of the taco al pastor?,pineapple,"pear, mango, watermelon",What herb is finely chopped and served on top of the taco al pastor?,cilantro,"basil, parsley, mint",Which is tacos al pastor?,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Olea3_%285545489299%29.jpg/320px-Olea3_%285545489299%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Tacos_at_Boardwalk_Bistro_on_Hastings%2C_Noosa_Heads.jpg/320px-Tacos_at_Boardwalk_Bistro_on_Hastings%2C_Noosa_Heads.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Black_bean_corn_tacos_at_Down_The_Rabbit_Hole_2018.jpg/320px-Black_bean_corn_tacos_at_Down_The_Rabbit_Hole_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Pork_tacos_at_the_Rendezvous_%2826943375693%29.jpg/320px-Pork_tacos_at_the_Rendezvous_%2826943375693%29.jpg
13,Hanok,"Main, History, Characteristics, Materials",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/%EC%88%9C%EC%B2%9C_%EC%86%A1%EA%B4%91%EC%82%AC_%ED%95%98%EC%82%AC%EB%8B%B9_01.jpg/320px-%EC%88%9C%EC%B2%9C_%EC%86%A1%EA%B4%91%EC%82%AC_%ED%95%98%EC%82%AC%EB%8B%B9_01.jpg,What is the name of the floor-based heating system traditionally used in hanoks?,Ondol,"Giwa, Daecheong, Hanji",What shape would a hanok in the southern regions of Korea be? ,L-shape,"Square, Circle, Triangle",What kind of roofing do hanoks have?,tiles,"straw, wood, green (covered with plants) ",What kind of beams do hanoks use?,wood,"steel, concrete, stone",Which is an example of a hanok?,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Korea-Seoul-Bukchon-19.jpg/320px-Korea-Seoul-Bukchon-19.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Toro1.jpg/320px-Toro1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Du_Fu_Thatched_Cottage_Garden.jpg/320px-Du_Fu_Thatched_Cottage_Garden.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Hutong_1_%28Snowyowls%29.jpg/320px-Hutong_1_%28Snowyowls%29.jpg
14,Jose Guadalupe Posada,"Main, Career as artist, Notable works",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Posada2.Catrina.jpeg/320px-Posada2.Catrina.jpg,What type of printing did Jose Guadalupe Posada use for his art?,Relief printing,"Screen printing, Woodblock printing, 3D printing",What magazine did Posada continue to make satirical illustrations for during the Mexican Revolution?,El Jicote,"La Patria Ilustrada, La Gacetilla, el Pueblo Caótico",What is iconic about Posada's satirical portraits?,Depiction as skeletons/skulls ,"Extravagant clothing, Caricature features, Depiction as animals ","Who is Posada criticizing in his best known work, La Calavera Catrina? ",Mexican natives adopting European aristocratic traditions,"the government of Francisco Madero, European monarchs, the United States ",Which is a work by Jose Guadalupe Posada?,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Jos%C3%A9_Guadalupe_Posada%2C_Calavera_oaxaque%C3%B1a%2C_broadsheet%2C_1903.jpg/320px-Jos%C3%A9_Guadalupe_Posada%2C_Calavera_oaxaque%C3%B1a%2C_broadsheet%2C_1903.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/%27Bookplate%2C_Portrait%27_by_John_C._Poole%2C_woodblock_print.JPG/320px-%27Bookplate%2C_Portrait%27_by_John_C._Poole%2C_woodblock_print.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Nude_Seated--Front_View%2C_by_William_H._Johnson.jpg/320px-Nude_Seated--Front_View%2C_by_William_H._Johnson.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Tierra_y_Libertad.jpg/320px-Tierra_y_Libertad.jpg
15,South China tiger,"Main, Characteristics, Ecology and behavior",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/2012_Suedchinesischer_Tiger.JPG/320px-2012_Suedchinesischer_Tiger.JPG,When was the last recorded sighting of a South China tiger in the wild?,1970s,"1950s, 1960s, 1980s",Which of the following is frequently prey for the South China tiger?,Wild boar,"Water buffalo, Goat, Moose","Compared to the Bengal Tiger, what does the South China tiger's coat look liket?",lighter and more yellow,"darker and more orange, the same, lighter and more brown",What do the South China tiger's stripes look like?,narrow and sharp-edged,"wide and pointed, short and dull (almost like spots), numerous with varying shapes",Which is the South China tiger?,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Panthera_tigris_amoyensis.jpg/320px-Panthera_tigris_amoyensis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/P.t.altaica_female.jpg/320px-P.t.altaica_female.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/White-tiger-2407799_1280.jpg/320px-White-tiger-2407799_1280.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Sumatran_Tiger_Berlin_Tierpark.jpg/320px-Sumatran_Tiger_Berlin_Tierpark.jpg
16,Quonset hut,"Main, Design and history",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Quonset_hut_emplacement_in_Japan.jpg/320px-Quonset_hut_emplacement_in_Japan.jpg,What war did the United States manufacture hundreds of thousands of Quonset huts for?,WWII,"Civil War, WWI, Cold War",Where were Quonset huts first manufactured?,Rhode Island,"New York, Massachusetts, Michigan",What shape is the cross-section on the front and back of the Quonset hut?,Semicircular,"Triangular, Rectangular, Circular",What are the walls of the Quonset hut made of?,corrugated steel,"plywood, concrete, aluminium",Which is a Quonset hut?,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Nankin_Value_Battery_Quonset_hut_Westland_Michigan.JPG/320px-Nankin_Value_Battery_Quonset_hut_Westland_Michigan.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Dymaxion_House_-_LOC_8c14945v.jpg/320px-Dymaxion_House_-_LOC_8c14945v.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Khutse_Kalahari_Lodge.jpg/320px-Khutse_Kalahari_Lodge.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Portsmouth_Grammar_School_seen_from_the_High_Street.jpg/320px-Portsmouth_Grammar_School_seen_from_the_High_Street.jpg
17,Boyoz,"Main, Origin",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Boyoz_g%C3%B6sterim.jpg/320px-Boyoz_g%C3%B6sterim.jpg,What Turkish city is Boyoz associated with?,Izmir,"Ankara, Istanbul, Bursa",What beverage is boyoz usually served with?,Dark tea,"Turkish coffee, Raki, Milk",What is the shape of boyoz?,Round,"Square, Rolled, Triangle",What is the most popular stuffing of boyoz?,None (plain),"Meat, cheese, spinach",Which is boyoz?,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Boyoz_in_%C4%B0zmir.jpg/320px-Boyoz_in_%C4%B0zmir.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bridie.jpg/320px-Bridie.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Jiguang_pastry%2C_Matsu%2C_Taiwan.JPG/320px-Jiguang_pastry%2C_Matsu%2C_Taiwan.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Pita_sa_jabukama_i_tankim_korama.jpg/320px-Pita_sa_jabukama_i_tankim_korama.jpg
18,Totem pole,"Main, Meaning and purpose",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Two_Brothers_totem_pole_Jasper.jpg/320px-Two_Brothers_totem_pole_Jasper.jpg,What type of trees are totem poles usually made from?,Western Red Cedar,"Coastal Redwood, Douglas Fir, Sitka Spruce",The linear representation of the figures on the totem pole places importance on the highest figure.,FALSE,TRUE,How tall can totem poles be?,60 ft / 18 m,"40 ft / 12 m, 80 ft / 24 f, 100 ft / 30 m",How are characters in stories such as family legends or notable events represented on the totem pole?,Animals,"Plants, Sun and Moon, Elements of nature",Which is a totem pole?,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Kakaso%27Las_totem_pole.jpg/320px-Kakaso%27Las_totem_pole.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Statue_1_%2830602554046%29.jpg/320px-Statue_1_%2830602554046%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Chemamull_chile_precolumblian_museum.JPG/320px-Chemamull_chile_precolumblian_museum.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Face_of_a_Jangseung_outside_the_National_Folk_Museum_of_Korea.jpg/320px-Face_of_a_Jangseung_outside_the_National_Folk_Museum_of_Korea.jpg
19,Fluorite,"Main, History and etymology, Color",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/3192M-fluorite1.jpg/320px-3192M-fluorite1.jpg,What is an industrial use of fluorite?,Flux,"Flame retardent, Cement, Hardening alloy",Where is the largest deposit of fluorite?,South Africa,"Yemen, China, Brazil",What are common colors of flurite?,It comes in a larger range of colors,"It can only be green or blue, It can only be yellow or orange, It can only be red",What are common colors of flurite?,It comes in a larger range of colors,"It can only be green or blue, It can only be yellow or orange, It can only be red",Which is an example of fluorite?,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Fluorite_Le_Beix_MNHN_Min%C3%A9ralogie.jpg/320px-Fluorite_Le_Beix_MNHN_Min%C3%A9ralogie.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Halit_%28NaCl%29_-_Kopalnia_soli_Wieliczka%2C_Polska.jpg/320px-Halit_%28NaCl%29_-_Kopalnia_soli_Wieliczka%2C_Polska.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Atacamite-235102.jpg/320px-Atacamite-235102.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Bischofite_-_Antofagasta.JPG/320px-Bischofite_-_Antofagasta.JPG
20,Shingle Style Architecture,"Main, History, Characteristics",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Kragsyde.jpg/320px-Kragsyde.jpg,Where is Shingle style architecture in the United States most often found?,New England,"Midwest, Pacific Northwest, Southwest",The shingle style was a response to which architectural movement?,Eastlake style,"Modernist, Gothic, Colonial",What feature was common for shingle style houses?,Horizontal continuity,"Vertical continuity, ornamentation, columns",What is a famous example of the shingle style house?,Kragsyde,"Saint Peter's By-The-Sea, Carson Mansion, Vaile Mansion",Which is an example of the shingle style?,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/HorseshoePostcard.jpg/320px-HorseshoePostcard.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/William_S._Clarke_House_2.JPG/320px-William_S._Clarke_House_2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Saint_Peter%27s-By-The-Sea_Episcopal_Church%2C_Cape_May_Point%2C_NJ.jpg/320px-Saint_Peter%27s-By-The-Sea_Episcopal_Church%2C_Cape_May_Point%2C_NJ.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Herman_C._Timm_House.jpg/320px-Herman_C._Timm_House.jpg
